po_id,supplier_id,supplier_name,sku_id,product_name,category,order_date,qty_ordered,qty_received,unit_price_usd,total_value_usd,currency,expected_delivery,actual_delivery,delay_days,status,invoice_no,payment_status,notes
PO-5000,SUP-114,AmeriTrade Supplies,SKU-1015,Whiteboard Markers,Office,2025-04-17,152,152,160.43,24385.36,USD,2025-04-20,2025-05-02,12,Delivered,INV-84691,Overdue,Bulk discount applied
PO-5001,SUP-107,TrustMart B2B,SKU-1021,Women Jeans,Clothing,2025-03-18,263,263,130.47,34313.61,USD,2025-04-03,2025-04-16,13,Delivered,INV-37802,Pending,Quality check required
PO-5002,SUP-105,MegaDist Corp,SKU-1021,Women Jeans,Clothing,2025-07-25,460,460,121.68,55972.8,USD,2025-08-13,2025-08-11,-2,Delivered,INV-77715,Paid,
PO-5003,SUP-104,EcoSource Inc.,SKU-1046,Body Lotion,Beauty,2025-09-28,260,260,30.32,7883.2,USD,2025-10-04,2025-10-17,13,Delivered,INV-94659,Overdue,Rush order
PO-5004,SUP-108,ValueChain Partners,SKU-1001,USB-C Hub,Electronics,2025-04-20,160,0,197.06,31529.6,USD,2025-05-12,,,Cancelled,INV-41890,Pending,
PO-5005,SUP-111,AsiaTrade Hub,SKU-1037,Air Fryer,Home & Kitchen,2025-09-08,252,252,152.26,38369.52,USD,2025-09-11,2025-09-22,11,Delivered,INV-82140,Pending,
PO-5006,SUP-112,EuroGoods Direct,SKU-1029,Sport Leggings,Clothing,2025-07-20,166,166,44.86,7446.76,USD,2025-07-26,2025-07-30,4,Delivered,INV-51359,Paid,Bulk discount applied
PO-5007,SUP-109,NexGen Procurement,SKU-1048,Toner,Beauty,2026-02-20,104,0,146.67,15253.68,USD,2026-03-12,,,Cancelled,INV-73464,Pending,
PO-5008,SUP-112,EuroGoods Direct,SKU-1037,Air Fryer,Home & Kitchen,2025-11-27,315,315,140.43,44235.45,USD,2025-12-03,2025-12-07,4,Delivered,INV-48829,Paid,
PO-5009,SUP-103,PrimeVendor Ltd,SKU-1019,Tape Dispenser,Office,2025-03-11,372,372,223.84,83268.48,USD,2025-03-15,2025-03-14,-1,Delivered,INV-17146,Overdue,
PO-5010,SUP-112,EuroGoods Direct,SKU-1008,Smart Speaker,Electronics,2026-01-24,454,454,96.31,43724.74,USD,2026-01-30,2026-01-28,-2,Delivered,INV-85243,Pending,Rush order
PO-5011,SUP-108,ValueChain Partners,SKU-1028,Denim Shorts,Clothing,2025-08-25,104,104,129.34,13451.36,USD,2025-09-16,2025-09-29,13,Delivered,INV-24953,Paid,Rush order
PO-5012,SUP-108,ValueChain Partners,SKU-1004,Webcam,Electronics,2025-12-24,332,332,242.36,80463.52,USD,2026-01-15,2026-01-17,2,Delivered,INV-83772,Pending,
PO-5013,SUP-104,EcoSource Inc.,SKU-1007,Power Bank,Electronics,2025-12-14,401,0,181.73,72873.73,USD,2025-12-20,,,In Transit,INV-91057,Pending,
PO-5014,SUP-113,PacificSource,SKU-1033,Cutting Board,Home & Kitchen,2025-09-14,240,240,188.23,45175.2,USD,2025-10-07,2025-10-18,11,Delivered,INV-50026,Overdue,Seasonal stock
PO-5015,SUP-101,GlobalTech Supplies,SKU-1039,Dish Rack,Home & Kitchen,2025-04-23,495,0,257.99,127705.05,USD,2025-05-08,,,Cancelled,INV-37659,Pending,
PO-5016,SUP-111,AsiaTrade Hub,SKU-1005,Monitor Stand,Electronics,2025-05-23,132,132,132.31,17464.92,USD,2025-05-26,2025-05-29,3,Delivered,INV-10350,Pending,Rush order
PO-5017,SUP-112,EuroGoods Direct,SKU-1038,Mixing Bowls Set,Home & Kitchen,2025-10-30,159,159,83.79,13322.61,USD,2025-11-05,2025-11-12,7,Delivered,INV-69510,Paid,Bulk discount applied
PO-5018,SUP-104,EcoSource Inc.,SKU-1016,Desk Organizer,Office,2026-01-18,311,311,136.56,42470.16,USD,2026-01-24,2026-02-04,11,Delivered,INV-25043,Overdue,
PO-5019,SUP-111,AsiaTrade Hub,SKU-1009,Laptop Stand,Electronics,2025-07-18,433,433,39.28,17008.24,USD,2025-07-21,2025-07-24,3,Delivered,INV-50319,Overdue,Bulk discount applied
PO-5020,SUP-114,AmeriTrade Supplies,SKU-1036,Electric Kettle,Home & Kitchen,2025-07-29,234,0,17.31,4050.54,USD,2025-08-01,,,Cancelled,INV-49857,Pending,Bulk discount applied
